2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: day
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: in
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: your
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: life.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "If
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: love
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: somebody,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: let
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: them
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: go,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: for
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: if
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: they
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: return,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: they
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: were
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: always
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: yours.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: If
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: they
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: don't,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: they
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: never
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: were."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "Just
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: try
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: to
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: be
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: the
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: best
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: can
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: be;
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: never
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: cease
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: trying
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: to
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: be
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: the
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: best
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: can
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: be.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: That's
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: in
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: your
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: power."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "Life
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: is
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: growth.
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: If
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: we
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: stop
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: growing,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: technically
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: and
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: spiritually,
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: we
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: are
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: as
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: good
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: as
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: dead."
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: "If
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: you
2025-09-09 19:11:23 [main] INFO  parcial2.Service.Frase - Palabra encriptada: try
